University_name,City,State,University_link,Tuition_Fees_Domestic,Type_of_Institution,Undergraduate_Population,Acceptance_Rate,Average_SAT_ACT_Score,Ranking_National,Graduation_Rate,Percentage_of_International_Students
Klamath Community College,Klamath Falls,OR,https://www.klamathcc.edu/,6698,Private,38189,14.85021702,1550,1145,85.23131925,17.36505274
American College of Acupuncture and Oriental Med,Houston,TX,www.acaom.edu/,46063,Private,31894,72.60604,1273,6301,69.45233107,7.658021792
AOMA Graduate School of Integrative Medicine,Austin,TX,https://aoma.edu/,25370,Private,1963,76.44909343,1433,1332,72.4747988,20.06550371
Urban College of Boston,Boston,MA,https://www.urbancollege.edu/,13637,Private,6457,16.58365541,1265,1124,85.64387964,17.58345301
Strayer University-Maryland,Suitland,MD,www.strayer.edu/campus-locations/maryland/prince-georges,5544,Public,10041,28.55753387,1413,5093,96.97608072,19.10807154
Empire Beauty School-Monroeville,Monroeville,PA,www.empire.edu/,35424,Private,28720,51.78009766,821,5836,85.16415156,8.208810084
Southern Careers Institute-San Antonio,San Antonio,TX,www.scitexas.edu/,9821,Public,38059,92.21632679,1594,5365,51.68816543,11.23788625
Cayce/Reilly School of Massage,Virginia Beach,VA,www.caycereilly.edu/,43833,Private,5578,53.58551956,1551,1353,92.49093339,23.67437558
Prism Career Institute-West Atlantic City,West  Atlantic City,NJ,prismcareerinstitute.edu/,13232,Private,39340,66.14626026,894,1135,54.67051336,16.1398904
Studio Jewelers,New York,NY,www.studiojewelersltd.com/,12528,Public,27910,25.65904516,1433,5987,97.85656259,2.057926054
Praxis Institute,Miami,FL,www.praxis.edu/,43699,Private,13934,27.31816089,1105,6173,74.94478064,20.91524159
San Juan Bautista School of Medicine,Caguas,PR,www.sanjuanbautista.edu/,28818,Public,31703,84.06373991,889,1848,79.80244244,0.769662461
Texas Health and Science University,Austin,TX,https://thsu.edu/,21902,Public,8314,51.20077535,1387,6413,71.19180562,12.67437396
Carver Career Center,Charleston,WV,www.carvercareercenter.edu/,32513,Private,35576,93.9822427,1529,1230,80.16977458,20.61293396
Cayuga Onondaga BOCES-Practical Nursing Program,Auburn,NY,www.cayboces.org/,31659,Public,31943,14.65530489,1504,3950,77.49102145,6.435041572
Clearfield County Career and Technology Center,Clearfield,PA,ccctc.edu/,20108,Public,30240,60.05411844,824,1092,97.6213893,1.372815756
Colegio de Cinematografia Artes y Television,Bayamon,PR,https://www.ccatpuertorico.com/,35570,Public,32022,81.91478152,1235,3799,72.85051429,7.690947416
Delaware County Technical School-Practical Nursing Program,Broomall,PA,www.dciu.org/lpn,35186,Private,11422,41.69591316,962,2502,67.81701115,0.486624264
Mid-Del Technology Center,Midwest City,OK,www.middeltech.com/,31471,Public,20285,79.42971144,1314,1215,61.04956993,22.01225772
New York Institute of Massage Inc,Williamsville,NY,nyinstituteofmassage.com/,16298,Public,18322,13.30427496,1558,5103,70.98687576,11.01440215
Dutchess BOCES-Practical Nursing Program,Poughkeepsie,NY,https://www.dcboces.org/cti/lpn,25597,Private,18594,94.03187546,1290,6408,64.8511265,7.282314834
Escuela Tecnica de Electricidad,Ponce,PR,https://www.etepr.edu/,9512,Private,22638,44.03489124,1113,2263,66.39942063,15.54055579
Institute of Technology,Clovis,CA,www.iot.edu/,45124,Public,6560,83.5401514,1276,771,61.12422211,12.67021259
Bristol Technical Education Center,Bristol,CT,bristol.cttech.org/,28461,Public,20244,31.97339651,1421,2589,71.21816584,17.61837174
Genesee Valley BOCES-Practical Nursing Program,Batavia,NY,www.gvboces.org/,34852,Public,4945,50.13483989,1479,196,92.96367431,6.743357971
Henrico County-Saint Marys Hospital School of Practical Nursing,Henrico,VA,henricocte.com/career-classes/areas-of-study/practical-nursing/,40402,Public,30548,87.48000899,905,6216,86.82520276,13.89230766
Herkimer County BOCES-Practical Nursing Program,Ilion,NY,https://www.herkimer-boces.org/page/adult-practical-nursing,20316,Private,25900,73.95944546,1379,3073,61.67258784,4.895317572
International Beauty College,Garland,TX,www.ibc3.edu/,24982,Public,28447,58.85404716,1153,5338,89.78909706,20.54064347
Cape Coral Technical College,Cape Coral,FL,capecoraltech.edu/,10880,Private,10286,97.79400309,1448,4381,73.36627273,3.056683508
UPMC Mercy School of Nursing,Pittsburgh,PA,https://www.upmc.com/mercyson,42725,Private,38817,77.29710998,1590,2028,91.03517748,12.4901283
Ocean County Vocational-Technical School,Toms River,NJ,www.ocvts.org/,41146,Public,39474,64.66676996,1212,3748,60.98743382,18.99148268
Yeshiva of the Telshe Alumni,Riverdale,NY,https://yeshivatelshealumni.com/,39256,Private,17262,61.23747494,946,4006,85.42355113,12.58267323
Kenneth Shuler School of Cosmetology-Rock Hill,Rock Hill,SC,www.kennethshuler.com/,19940,Public,9874,59.7665246,1130,1466,83.99166122,10.58523359
CET-El Paso,El Paso,TX,https://cetweb.edu/,20193,Private,3174,64.06335967,1044,1368,67.74509523,20.9348089
Appalachian School of Law,Grundy,VA,www.asl.edu/,26804,Public,26813,64.64153814,1318,3964,88.16370329,19.61516605
Platt College-Ontario,Ontario,CA,www.plattcollege.edu/,18426,Public,4680,37.00955258,1059,4466,87.47953487,1.565466676
Delaware College of Art and Design,Wilmington,DE,www.dcad.edu/,32916,Public,20879,92.65111393,841,6365,54.45309593,22.63231552
American University of Health Sciences,Signal Hill,CA,https://www.auhs.edu/,23922,Public,17145,69.82670428,1189,4898,51.12602838,16.08662405
Career Networks Institute,Santa Ana,CA,www.cnicollege.edu/,46982,Private,21094,79.47428465,1085,4882,65.09500013,24.96613781
Monty Tech,Fitchburg,MA,www.montytech.net/,24474,Private,21846,91.32240997,1130,3031,94.42207728,14.53102147
Okaloosa Technical College,Fort Walton Beach,FL,www.otcollege.net/,7321,Public,27807,46.01604279,1474,1763,93.7863673,10.23701266
Lincoln Technical Institute-Lincoln,Lincoln,RI,www.lincolntech.edu/campus/lincoln-ri,23620,Public,29535,14.36140596,968,5710,67.85018468,1.306025917
Wayne County Schools Career Center,Smithville,OH,www.wayne-jvs.k12.oh.us/,11741,Public,21433,66.23641812,1094,4946,77.6099017,23.35376443
Carolinas College of Health Sciences,Charlotte,NC,www.carolinascollege.edu/,6078,Public,1270,58.72937392,1592,3159,67.10403461,5.623505358
Western Governors University,Salt Lake City,UT,www.wgu.edu/,30465,Public,9396,92.99865958,1051,5900,94.27413752,15.42576054
California Aeronautical University,Bakersfield,CA,www.calaero.edu/,28848,Private,21037,90.06365563,1561,6379,62.18931929,20.40690918
Herzing University-New Orleans,Metairie,LA,https://www.herzing.edu/,24620,Public,36578,75.75436767,1452,128,85.83247662,3.328172601
Florida Gulf Coast University,Fort Myers,FL,www.fgcu.edu/,15520,Public,21667,90.51450739,1380,3235,85.19732317,3.334157966
Little Priest Tribal College,Winnebago,NE,https://www.littlepriest.edu/,21515,Public,11104,13.25881764,1473,4184,84.81577279,2.894174895
South Louisiana Community College,Lafayette,LA,https://www.solacc.edu/,12379,Private,12988,26.35789906,1008,1737,68.6285539,18.16242801
Pima Medical Institute-Chula Vista,Chula Vista,CA,https://pmi.edu/,7609,Public,6675,30.79854481,887,5805,61.65915599,16.45826655
Lincoln College of Technology-Marietta,Marietta,GA,www.lincolntech.edu/campus/marietta-ga,44919,Public,11774,47.80678546,1092,4844,90.73332173,0.613333279
Academy of Hair Design-Lufkin,Lufkin,TX,www.lufkinhairdesign.com/,47681,Public,32926,66.10360843,1293,1573,69.21921453,3.768380027
Pathway Vocational Academy,Beaumont,TX,https://www.pathwayvocationalacademy.com/,20717,Private,17615,31.66294361,1445,3901,89.26736314,23.36280097
Cortiva Institute,Linthicum,MD,www.cortiva.edu/,12174,Public,21530,86.1600656,1535,4218,91.63816746,24.84617704
Toni & Guy Hairdressing Academy-Worcester,Worcester,MA,worcester.toniguy.edu/,25878,Public,14232,36.4091481,1596,6196,55.78782258,7.481675851
Northwest HVAC/R Training Center,Spokane,WA,www.inwhvac.org/,12438,Private,17969,59.88410895,896,175,84.24016488,14.96723159
Myotherapy Institute,Lincoln,NE,www.myotherapy.edu/,22964,Public,24398,88.68013782,1180,5291,91.31876824,23.41582043
Florida College of Integrative Medicine,Orlando,FL,https://www.fcim.edu/,12663,Private,35377,58.64781959,1436,5629,64.0867807,7.551161235
New Professions Technical Institute,Miami,FL,www.npti.edu/,46661,Private,19074,10.58336865,1172,634,86.53842759,24.469861
Strand College of Hair Design,Myrtle Beach,SC,www.strandcollege.com/,18899,Private,13640,44.4773187,1362,3762,82.15206134,3.285868245
City College-Miami,Miami,FL,https://www.citycollege.edu/,44784,Private,33037,99.43499146,919,510,65.37058312,22.6112089
Ilisagvik College,Barrow,AK,www.ilisagvik.edu/,16050,Private,5167,54.60590857,982,2021,68.61651774,5.710844399
Community College of Baltimore County,Baltimore,MD,www.ccbcmd.edu/,6393,Public,14344,60.33309429,1290,5601,76.18111048,10.85321932
White Earth Tribal and Community College,Mahnomen,MN,www.wetcc.edu/,6980,Public,38155,81.31094759,1169,5932,57.44066371,2.393185988
Blue Cliff College-Metairie,Metairie,LA,www.bluecliffcollege.edu/,6942,Private,18898,39.10500827,944,5773,82.78125827,8.739621646
Creative Images Institute of Cosmetology-North Dayton,Dayton,OH,www.creativeimages.edu/,14706,Private,24597,98.68756808,851,750,87.55387967,20.12866146
Dewey University-Carolina,Carolina,PR,dewey.edu/,49546,Public,23161,88.36763977,946,2273,53.56235212,3.145963739
Yeshiva College of the Nations Capital,Silver  Spring,MD,ycnc.org/,29117,Private,13422,35.28204096,1130,884,91.90689146,5.648614012
Louisiana State University Health Sciences Center-Shreveport,Shreveport,LA,https://www.lsuhs.edu/,29989,Private,23938,80.95110148,1545,1643,72.72977091,3.914543701
Hair Academy II,Hillcrest Heights,MD,hairacademy2.com/,25631,Public,15323,29.27817142,1119,560,54.2793606,16.9124426
Southwest Acupuncture College-Boulder,Boulder,CO,www.acupuncturecollege.edu/,36446,Public,7419,66.25662056,1263,4154,73.44689944,11.96155158
River Parishes Community College,Gonzales,LA,www.rpcc.edu/,39654,Private,8288,80.46095024,1524,347,71.76758379,15.79082534
Los Angeles Film School,Hollywood,CA,www.lafilm.edu/,37081,Private,29685,42.06159375,1061,5781,96.37384617,12.18491265
Century College,San Juan,PR,www.centurycollege.edu/,19445,Private,23071,68.84797756,1340,695,94.35418555,1.88915605
FINE Mortuary College,Norwood,MA,www.fmc.edu/,13224,Public,32144,77.07718652,1087,3277,84.48280365,0.210453745
International Baptist College and Seminary,Chandler,AZ,www.ibcs.edu/ibc/,12247,Public,13322,21.87099567,1379,1937,72.56518736,0.545740325
Gwinnett College,Raleigh,NC,www.gwinnettcollege.edu/,45275,Public,7612,42.85475174,810,6376,95.27839686,13.26927915
Fortis College-Foley,Foley,AL,www.fortis.edu/,25768,Public,10254,78.23875397,1410,3290,56.03990006,23.36770339
Medical Training College,Baton Rouge,LA,www.mtcbr.com/,37389,Private,16686,22.05590156,1187,6423,78.78473045,17.3985195
Toni & Guy Hairdressing Academy-Plano,Plano,TX,https://www.toniguy.edu/,43905,Public,4007,42.2592972,1496,2076,66.38572081,14.94764151
University of Connecticut-Waterbury Campus,Waterbury,CT,waterbury.uconn.edu/,14191,Public,35750,38.75205028,1041,758,91.22288362,5.0649254
University of Connecticut-Avery Point,Groton,CT,averypoint.uconn.edu/,17141,Public,16382,69.98157499,1221,1130,91.712054,10.30170102
University of Connecticut-Stamford,Stamford,CT,stamford.uconn.edu/,23892,Public,16341,84.17118212,827,6338,58.87863509,5.167671933
University of Management and Technology,Arlington,VA,https://www.umtweb.edu/,35031,Private,10396,57.23048332,1380,5698,94.53108803,10.27658994
Baton Rouge Community College,Baton Rouge,LA,www.mybrcc.edu/,9871,Private,37210,26.61499285,1387,2649,77.9678026,12.29223321
IYRS School of Technology & Trades,Newport,RI,www.iyrs.edu/,18231,Private,5319,91.68966346,985,891,65.58917023,18.70985144
Midwest Technical Institute-Illinois,Springfield,IL,www.midwesttech.edu/,28494,Private,14174,55.98357518,1045,782,94.71967353,15.0063995
Advanced Barber College and Hair Design,Weslaco,TX,abcrgv.com/,17875,Private,16682,58.59295432,823,2741,62.3494145,15.32214497
The College of Health Care Professions-Austin,Austin,TX,www.chcp.edu/,36866,Private,17798,68.75038497,1122,4680,64.88306927,13.34291311
New Community Career & Technical Institute,Newark,NJ,www.newcommunity.org/,19141,Public,23326,5.610846423,1403,1388,76.93564913,9.765918925
Chicago School of Professional Psychology-College of Nursing,Richardson,TX,https://www.thechicagoschool.edu/academics/program-finder/?fwp_field_of_study=nursing&fwp_locations=dallas_program_page,46678,Public,15541,20.31805579,1161,5583,85.60063848,5.7923213
Professional Golfers Career College,Temecula,CA,www.golfcollege.edu/,36128,Public,20560,60.36793483,1401,6007,81.4111295,18.54109617
Chester Career College,CHESTER,VA,chestercareercollege.edu/,36709,Private,20932,85.30869197,1165,5747,90.37771754,5.880086462
Milan Institute-San Antonio Ingram,San Antonio,TX,www.milaninstitute.edu/,45743,Public,18685,99.60356576,1387,3230,89.66978128,11.27103898
Rudae's School of Beauty Culture-Ft Wayne,Fort Wayne,IN,www.rudaes.edu/,41377,Public,23591,16.50672659,1464,5426,85.59584936,16.19978361
Carrington College-San Jose,San Jose,CA,https://carrington.edu/,20728,Public,35800,84.38073799,1361,1731,65.06160027,1.958549884
Brookline College-Tucson,Tucson,AZ,www.brooklinecollege.edu/,36258,Private,3393,71.27277963,1473,5089,65.59118276,21.57380102
Miller-Motte College-McCann-Lewisburg,Lewisburg,PA,https://www.mccann.edu/,41750,Private,9398,89.55768246,939,4553,85.47873733,20.86287034
Carrington College-Pleasant Hill Campus,Pleasant Hill,CA,https://carrington.edu/,47437,Public,12592,50.65727944,1536,4153,79.67126203,17.88077506
Cortiva Institute,Maitland,FL,www.cortiva.edu/,29618,Public,24810,57.28014664,884,293,57.99869724,10.28954632
Modern Hairstyling Institute-Carolina,Carolina,PR,www.modern.edu/,19657,Private,17131,29.22468926,1033,2910,75.26049059,24.07261815
Universal Technical Institute of California Inc,Rancho Cucamonga,CA,www.uti.edu/,20739,Public,9123,77.50741814,1553,3173,75.43294794,13.96279288
American InterContinental University-Atlanta,Atlanta,GA,www.aiuniv.edu/online-campus/campus-locations/atlanta,46361,Public,18996,19.95128547,843,4163,66.88833278,10.47810501
The Academy of Hair Design Six,Hattiesburg,MS,www.academyofhair.com/,39548,Public,15345,41.8099855,911,6242,59.86222653,10.26691677
Eastern West Virginia Community and Technical College,Moorefield,WV,www.easternwv.edu/,28910,Private,1773,10.42570828,1199,6011,54.11347021,16.92872082
Aviation Institute of Maintenance-Indianapolis,Indianapolis,IN,https://aviationmaintenance.edu/campuses/indianapolis-in,42862,Public,18698,64.49971613,988,3509,95.51959673,18.00408702
IVAEM College,Caguas,PR,https://www.ivaempr.com/,20594,Public,34287,20.57064411,1106,222,94.78939935,0.576928735
Midwest College of Oriental Medicine-Skokie,Skokie,IL,www.acupuncture.edu/,8832,Public,4883,49.6747912,1240,5842,78.60865255,20.85152311
Carrington College-Spokane,Spokane,WA,https://carrington.edu/,18014,Private,2758,20.00852779,967,3146,54.52278451,17.9259893
Cascadia College,Bothell,WA,www.cascadia.edu/,5387,Public,16605,64.52477241,1069,3550,91.35168033,12.97094141
CBD College,Los Angeles,CA,www.cbd.edu/,6240,Public,1165,24.49938527,928,509,84.51135248,10.53919159
East West College of Natural Medicine,Sarasota,FL,www.ewcollege.edu/,41284,Public,25268,19.68684136,1516,1562,53.14778829,8.497516968
Atlantic Institute of Oriental Medicine,Fort Lauderdale,FL,www.atom.edu/,5801,Public,36223,73.96557352,1143,1036,90.72859769,6.805517391
MDT College of Health Sciences,Chicago,IL,www.atsinstitute.edu/,25463,Public,30917,86.26265417,992,5479,88.87518575,8.47193427
Bennett Career Institute,Washington,DC,www.bennettcareerinstitute.org/,13629,Private,30157,99.07113338,1064,5952,77.60276618,17.37022191
Blue Cliff College-Lafayette,Lafayette,LA,bluecliffcollege.edu/,48697,Private,8115,57.68331233,1589,244,64.17007518,17.5620694
Community Care College,Tulsa,OK,www.communitycarecollege.edu/,18331,Private,6128,77.08119015,1522,6322,66.26083789,0.577955524
Erie 1 BOCES,West Seneca,NY,e1b.org/WFD,15687,Public,28352,32.41246309,957,501,69.24352904,12.63360165
HDS Truck Driving Institute,Tucson,AZ,www.hdstruckdrivinginstitute.com/,38395,Public,31009,29.19075963,1367,83,51.93652982,1.3128124
International Training Careers,Miami,FL,tufuturovale.com/spa/,48774,Private,38997,50.00256498,1389,1392,93.73497252,7.836051297
The King's University,Southlake,TX,https://www.tku.edu/,15016,Private,4819,60.65167396,963,2346,62.31426942,3.997803206
Fortis College-Baton Rouge,Baton Rouge,LA,www.fortis.edu/,20357,Public,38770,81.63821046,884,4465,74.34622551,4.379807541
My Le's Beauty College,Sacramento,CA,www.mylebeautycollegeinc.com/,35235,Private,23525,51.48754166,1140,2330,76.1371864,10.12522249
New Concept Massage and Beauty School,Miami,FL,www.massagebeautyschool.com/,28602,Private,27724,90.62502428,1060,1479,84.94064768,15.83339635
New York College of Traditional Chinese Medicine,Mineola,NY,www.nyctcm.edu/,26239,Private,10315,66.98997226,1499,3007,69.91635799,17.39533216
Fortis College-Orange Park,Orange Park,FL,fortis.edu/,5851,Public,16457,43.13447134,1463,2724,88.71014362,17.11094977
Northeastern Seminary,Rochester,NY,www.nes.edu/,13736,Private,25289,38.73116084,839,114,62.50671522,13.22261974
Omega Institute of Cosmetology,Houma,LA,www.omegainstitutes.com/,47757,Public,36164,27.01131016,1430,4295,87.08734494,15.91746099
Pacific Islands University,Mangilao,GU,www.piu.edu/,5127,Public,18331,75.53112849,1338,5131,93.31907546,21.0852066
PCI College,Cerritos,CA,www.pci-ed.com/,9156,Private,19031,85.20877531,1108,5413,73.02384343,7.952462789
Rosedale Bible College,Irwin,OH,www.rosedale.edu/,32287,Private,14666,71.70835855,1386,3249,77.27780037,24.11516879
Seattle Institute of East Asian Medicine,Seattle,WA,www.sieam.edu/,36415,Public,33457,8.797057038,980,1340,80.74313578,21.6300558
Shawnee Beauty College,Shawnee,OK,www.shawneebeautycollege.com/,47213,Private,13131,45.21532522,1440,6414,59.12355996,13.81595411
Acupuncture and Massage College,Miami,FL,www.amcollege.edu/,37629,Public,10065,40.95772469,1356,2609,73.28416211,16.07345808
Upper Valley Educators Institute,Lebanon,NH,www.uvei.edu/,23570,Private,3953,93.15070564,1170,4389,61.75129203,6.609369593
Keck Graduate Institute,Claremont,CA,www.kgi.edu/,12963,Private,13303,84.74213933,1163,4528,97.25278743,12.27349521
Aviation Institute of Maintenance-Atlanta,Duluth,GA,https://aviationmaintenance.edu/campuses/atlanta-ga/,8393,Private,21894,44.15442233,1142,2277,81.57348364,6.844989792
Empire Beauty School-Kennesaw,Kennesaw,GA,www.empire.edu/,46119,Private,21124,25.121755,1067,1898,56.03427067,14.65263129
New York Automotive and Diesel Institute,Jamaica,NY,www.nyadi.edu/,19610,Private,16684,38.784738,877,1394,60.74995542,23.11011552
Remington College-Baton Rouge Campus,Baton Rouge,LA,www.remingtoncollege.edu/baton-rouge-career-college,39852,Public,34353,50.8660769,1260,6234,71.63274551,8.210981678
New Saint Andrews College,Moscow,ID,nsa.edu/,35810,Public,28078,36.04262219,1372,6367,74.65751906,9.643310483
Arkansas State University-Newport,Newport,AR,www.asun.edu/,30428,Public,18325,9.097401106,1367,3,66.3357811,23.88357933
Atenas College,Manati,PR,www.atenascollege.edu/,32871,Public,24638,49.11099938,1362,2232,82.12807708,0.779854436
Onondaga Cortland Madison BOCES,Liverpool,NY,ocmboces.org/,11973,Private,6665,55.66663071,1359,2308,71.89818494,8.27864242
National American University-Ellsworth,Box Elder,SD,www.national.edu/locations/campuses/ellsworth-afb/,48530,Public,11821,56.15962744,1430,4428,67.05463447,20.05859338
Interactive College of Technology,Pasadena,TX,www.ict.edu/campuses/tx/pasadena/,38944,Public,8633,46.673628,1453,2632,62.3486971,3.361780418
Pillar College,Newark,NJ,www.pillar.edu/,30829,Public,22049,7.58765618,1308,6256,85.55767335,5.968554644
Miami Ad School-San Francisco,San Francisco,CA,miamiadschool.com/locations/san-francisco/,48393,Private,35763,87.24521743,923,4015,59.08042674,5.83718089
Oregon State University-Cascades Campus,Bend,OR,https://osucascades.edu/,16914,Private,30139,96.89245644,1138,4161,80.56581575,15.95148435
Milan Institute-Amarillo,Amarillo,TX,www.milaninstitute.edu/,15791,Private,1177,55.06410469,941,2385,97.41614167,4.07458017
Southern University Law Center,Baton Rouge,LA,www.sulc.edu/,27234,Private,39748,33.96044617,856,6152,51.74299603,0.452047336
Texas Barber College,Houston,TX,www.txbarber.edu/,33237,Public,14065,39.69124152,1289,5224,80.25009014,3.689627122
Miller-Motte College-Charleston,Charleston,SC,https://miller-motte.edu/,15015,Private,8174,94.53374685,846,3878,74.63706949,11.25327075
American Career College-Anaheim,Anaheim,CA,https://new.americancareercollege.edu/,13273,Public,15254,68.19310747,952,1177,66.96546382,8.502549643
Saginaw Chippewa Tribal College,Mount Pleasant,MI,www.sagchip.edu/,49966,Private,25816,44.39469955,1320,4437,62.02207242,13.86953088
Richmont Graduate University,Chattanooga,TN,www.richmont.edu/,36893,Public,35307,5.299347744,1405,2944,53.38581862,9.036803566
The Seattle School of Theology & Psychology,Seattle,WA,theseattleschool.edu/,22232,Private,2361,59.56338388,1269,3636,80.23047481,1.920278941
Northwest College-Hillsboro,Hillsboro,OR,www.nwcollege.edu/,5046,Private,6433,22.72409175,965,153,53.78555837,11.17565033
East Valley Institute of Technology,Mesa,AZ,www.evit.com/,19865,Private,32714,74.03453858,1259,1052,91.96382387,11.24143761
Smith Chason College,Los Angeles,CA,https://wcui.edu/,28953,Public,20529,34.56918634,1211,6061,74.65562293,4.197116784
Irell & Manella Graduate School of Biological Sciences at City of Hope,Duarte,CA,https://www.cityofhope.org/grad-school,33074,Public,7791,76.62549183,1486,2116,53.95530891,17.22796271
Design's School of Cosmetology,Paso Robles,CA,www.designsschool.edu/,8412,Private,25599,60.53023099,849,1687,93.89133319,7.709379162
Ultimate Medical Academy,Clearwater,FL,https://www.ultimatemedical.edu/,17664,Public,26709,51.68098992,1485,5271,62.34106028,20.74418207
Florida Barber Academy,Plantation,FL,www.floridabarberacademy.edu/,48780,Public,1702,88.56614381,1303,1516,80.52616462,15.63585206
M-DCPS The English Center,Miami,FL,www.tecmiami.com/,15878,Public,24019,31.29148645,1447,4869,64.29885344,15.16767986
Florida Education Institute,Miami,FL,www.fei.edu/,26649,Public,8870,13.07465684,939,2687,90.95200343,24.52970127
Texas County Technical College,Houston,MO,www.texascountytech.edu/,26221,Private,10358,92.93812552,1491,627,80.07259361,12.10005772
Aviation Institute of Maintenance-Kansas City,Kansas City,MO,https://aviationmaintenance.edu/campuses/kansas-city-mo,33018,Private,20240,15.63003184,1118,682,51.55145522,15.27415252
Blue Cliff College-Gulfport,Gulfport,MS,bluecliffcollege.edu/,27107,Private,20978,77.95189695,1095,5559,50.68245318,8.514506626
Metropolitan Learning Institute,Rego Park,NY,www.gettraining.org/,46564,Private,6336,31.58619687,1299,2436,74.82092334,9.874955082
Orleans Niagara BOCES-Practical Nursing Program,Lockport,NY,https://www.onboces.org/,35196,Private,33895,68.36709518,1088,119,72.52879889,2.557069267
Yeshiva Shaarei Torah of Rockland,Suffern,NY,www.yst.edu/,34532,Public,20364,5.886827108,1037,6418,72.26851695,14.89461498
Leon Studio One School of Beauty Knowledge,Williamsville,NY,www.leonstudioone.com/school/,28161,Private,34242,48.36459524,1454,4340,97.18595956,17.0478972
American Institute of Alternative Medicine,Columbus,OH,www.aiam.edu/,26044,Public,11965,92.59212468,873,1140,55.99263253,10.39849912
Brown Aveda Institute-Mentor,Mentor,OH,www.brownaveda.com/,22291,Private,4403,54.53917553,1466,109,61.51342547,20.47901935
Institute of Technology,Salem,OR,www.iot.edu/,18244,Private,30644,51.93453796,1370,3775,89.13348455,18.61730174
Susquehanna County Career and Technology Center,Springville,PA,www.scctc-school.org/,34508,Private,38392,27.59823768,803,2303,84.47735098,23.50311411
Universidad Pentecostal Mizpa,Rio Piedras,PR,mizpa.edu/,14468,Public,2575,77.42499989,1187,135,79.9644761,13.90864014
Caribbean Forensic and Technical College,San Juan,PR,https://www.caribbeanforensic.com/,12966,Public,25958,78.69505167,1364,5216,81.06746626,5.042616837
Concorde Career College-Grand Prairie,Grand Prairie,TX,https://www.concorde.edu/campus/grand-prairie-texas,17273,Public,6936,80.05484927,1294,1613,67.37610082,20.98174974
Lamar Institute of Technology,Beaumont,TX,https://www.lit.edu/,32221,Private,15600,94.64343533,1521,4689,50.91785673,22.42017511
Aviation Institute of Maintenance-Dallas,Irving,TX,https://aviationmaintenance.edu/campuses/dallas-tx,32672,Public,9864,14.74665832,1289,1551,58.82589358,6.207507709
Healing Mountain Massage School,Salt Lake City,UT,https://www.healingmountain.edu/,28586,Public,33650,91.67041596,1427,5386,83.30449235,14.89119099
Eastern Virginia Career College,Fredericksburg,VA,www.evcc.edu/,14211,Private,5897,59.37264025,1533,6101,57.11858942,0.684218958
Rudy & Kelly Academy A Paul Mitchell Partner School,Virginia Beach,VA,https://paulmitchell.edu/virginiabeach,40008,Public,12713,62.79797881,1336,2542,51.1555823,17.4196389
Nevada State College,Henderson,NV,https://nsc.edu/,14845,Public,25015,69.0844343,1036,2043,68.9982081,6.085996091
California State University-Channel Islands,Camarillo,CA,www.csuci.edu/,43567,Private,15765,76.51388137,1352,1335,97.86224214,16.2559957
Franklin W Olin College of Engineering,Needham,MA,www.olin.edu/,18759,Private,18396,80.99855451,1166,3410,74.3351284,21.73467527
Won Institute of Graduate Studies,Warminster,PA,www.woninstitute.edu/,46643,Public,19217,27.06887972,1158,2587,58.08643893,20.43602239
Lincoln Technical Institute-Paramus,Paramus,NJ,www.lincolntech.edu/campus/paramus-nj,24642,Public,25211,99.65435109,942,4156,65.24025309,22.92460944
Pima Medical Institute-Colorado Springs,Colorado Springs,CO,https://pmi.edu/,44324,Private,20460,31.61862769,1055,1019,64.82507586,7.617837109
Paul Mitchell the School-Costa Mesa,Costa Mesa,CA,paulmitchell.edu/costamesa,30391,Private,1782,12.81495026,1458,74,71.86130781,0.760788668
Ave Maria School of Law,Naples,FL,https://www.avemarialaw.edu/,9383,Public,19711,79.71988426,1242,2763,80.07049972,17.91399763
Tulsa Welding School-Jacksonville,Jacksonville,FL,https://www.tws.edu/,5086,Public,11930,33.02950553,871,535,59.50610308,24.27602982
Pennsylvania College of Health Sciences,Lancaster,PA,https://www.pacollege.edu/,45327,Private,36197,66.78553694,1393,2728,51.50187103,4.371900606
West Virginia Junior College-Bridgeport,Bridgeport,WV,www.wvjc.edu/,6317,Public,22004,65.07144774,1379,1252,93.4686624,3.23488359
St Louis College of Health Careers-Fenton,Fenton,MO,www.slchc.edu/,8332,Private,4229,26.40487622,991,3280,78.5982676,18.91374907
Interactive College of Technology-Gainesville,Gainesville,GA,www.ict.edu/,18373,Private,13017,11.82235959,1041,2911,70.85388432,8.90656191
San Joaquin Valley College-Ontario,Ontario,CA,sjvc.edu/,6859,Public,37638,63.29499471,1077,306,83.64513527,21.81426055
Alaska Christian College,Soldotna,AK,www.alaskacc.edu/,44149,Private,15947,91.85262701,843,3575,53.64815632,15.73463232
University of Arkansas Grantham,LIttle Rock,AR,https://www.uagrantham.edu/,36413,Private,34722,40.26579503,1597,1223,89.44022126,2.986248623
Carrington College-Albuquerque,Albuquerque,NM,https://carrington.edu/,36815,Public,5942,97.20484373,1028,3391,64.13502102,2.650193102
NASCAR Technical Institute,Mooresville,NC,www.uti.edu/,12586,Public,24780,46.48853162,1013,5129,91.58961285,8.047237142
University of the Potomac-VA Campus,FALLS CHURCH,VA,www.potomac.edu/,5343,Private,1581,87.49088696,1512,6258,76.31739162,15.70366551
